"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15666","TC-B022: Total Allocated is recalculated after removing category","chromium","2026-07-27","passed","2026-07-27","Budgeting - Add Category (Positive)","admin/budgeting.spec.ts","",""
"","43702","TC-B003: Budget year selector shows current fiscal year range","chromium","2026-07-27","passed","2026-07-27","Budgeting - Page Load & Read-Only Assertions","admin/budgeting.spec.ts","",""
"","12552","TC-B021: Removing an added category restores original count","chromium","2026-07-27","passed","2026-07-27","Budgeting - Add Category (Positive)","admin/budgeting.spec.ts","",""
"","43946","TC-B028: Very large category amount is accepted without crashing","chromium","2026-07-27","passed","2026-07-27","Budgeting - Negative / Edge Cases","admin/budgeting.spec.ts","",""
"","7974","TC-B027: Category name field accepts special characters","chromium","2026-07-27","passed","2026-07-27","Budgeting - Negative / Edge Cases","admin/budgeting.spec.ts","",""
"","5519","TC-B011: Total Allocated + Remaining equals total budget","chromium","2026-07-27","passed","2026-07-27","Budgeting - Page Load & Read-Only Assertions","admin/budgeting.spec.ts","",""
"","15070","TC-B004: Total budget input is visible and shows a dollar amount","chromium","2026-07-27","passed","2026-07-27","Budgeting - Page Load & Read-Only Assertions","admin/budgeting.spec.ts","",""
"","7010","TC-B015: Selecting a different fiscal year updates the menu button label","chromium","2026-07-27","passed","2026-07-27","Budgeting - Fiscal Year Selector","admin/budgeting.spec.ts","",""
"","34384","TC-B023: Add sub-category button adds a nested category row","chromium","2026-07-27","passed","2026-07-27","Budgeting - Add Category (Positive)","admin/budgeting.spec.ts","",""
"","17653","TC-B025: Allocation exceeding total budget shows Remaining as negative or zero","chromium","2026-07-27","passed","2026-07-27","Budgeting - Negative / Edge Cases","admin/budgeting.spec.ts","",""
"","6327","TC-B017: Adding a new category increases category count by 1","chromium","2026-07-27","passed","2026-07-27","Budgeting - Add Category (Positive)","admin/budgeting.spec.ts","",""
"","16675","TC-B010: Remaining amount is shown","chromium","2026-07-27","passed","2026-07-27","Budgeting - Page Load & Read-Only Assertions","admin/budgeting.spec.ts","",""
"","25373","TC-B013: Opening fiscal year menu shows multiple year options","chromium","2026-07-27","passed","2026-07-27","Budgeting - Fiscal Year Selector","admin/budgeting.spec.ts","",""
"","15254","TC-B018: New category is added with a placeholder name and zero amount","chromium","2026-07-27","passed","2026-07-27","Budgeting - Add Category (Positive)","admin/budgeting.spec.ts","",""
"","5676","TC-B009: Total Allocated amount is shown","chromium","2026-07-27","passed","2026-07-27","Budgeting - Page Load & Read-Only Assertions","admin/budgeting.spec.ts","",""
"","5405","TC-B016: Current year option has a Copy button next to it","chromium","2026-07-27","passed","2026-07-27","Budgeting - Fiscal Year Selector","admin/budgeting.spec.ts","",""
"","22208","TC-B007: Category rows have name input and amount input","chromium","2026-07-27","passed","2026-07-27","Budgeting - Page Load & Read-Only Assertions","admin/budgeting.spec.ts","",""
"","5659","TC-B005: Allocation categories heading and At-least-one-required note are visible","chromium","2026-07-27","passed","2026-07-27","Budgeting - Page Load & Read-Only Assertions","admin/budgeting.spec.ts","",""
"","6088","TC-B014: Fiscal year menu contains navigate-years controls","chromium","2026-07-27","passed","2026-07-27","Budgeting - Fiscal Year Selector","admin/budgeting.spec.ts","",""
"","19355","TC-B030: Budget year start month selector opens a dropdown with month options","chromium","2026-07-27","passed","2026-07-27","Budgeting - Negative / Edge Cases","admin/budgeting.spec.ts","",""
"","19166","TC-B002: Start Of Budget Year label and selector are visible","chromium","2026-07-27","passed","2026-07-27","Budgeting - Page Load & Read-Only Assertions","admin/budgeting.spec.ts","",""
"","5973","TC-B001: Budgeting section heading and description are visible","chromium","2026-07-27","passed","2026-07-27","Budgeting - Page Load & Read-Only Assertions","admin/budgeting.spec.ts","",""
"","22112","TC-B026: Entering a negative number in category amount is not accepted","chromium","2026-07-27","passed","2026-07-27","Budgeting - Negative / Edge Cases","admin/budgeting.spec.ts","",""
"","8116","TC-B019: Setting a category name persists the value in the input","chromium","2026-07-27","passed","2026-07-27","Budgeting - Add Category (Positive)","admin/budgeting.spec.ts","",""
"","19741","TC-B020: Setting a category amount updates Total Allocated","chromium","2026-07-27","passed","2026-07-27","Budgeting - Add Category (Positive)","admin/budgeting.spec.ts","",""
"","41820","TC-B006: At least one allocation category exists on load","chromium","2026-07-27","passed","2026-07-27","Budgeting - Page Load & Read-Only Assertions","admin/budgeting.spec.ts","",""
"","40037","TC-B008: Each category has a Remove and Add sub button","chromium","2026-07-27","passed","2026-07-27","Budgeting - Page Load & Read-Only Assertions","admin/budgeting.spec.ts","",""
"","9359","TC-B024: Category amount with value 0 does not increase Total Allocated","chromium","2026-07-27","passed","2026-07-27","Budgeting - Negative / Edge Cases","admin/budgeting.spec.ts","",""
"","22929","TC-B029: [BUG] App allows removing the last allocation category despite ""at least one required"" note","chromium","2026-07-27","passed","2026-07-27","Budgeting - Negative / Edge Cases","admin/budgeting.spec.ts","",""
"","5773","TC-B012: Add category button is visible","chromium","2026-07-27","passed","2026-07-27","Budgeting - Page Load & Read-Only Assertions","admin/budgeting.spec.ts","",""
